update,global_step,elapsed_s,train_return,eval_argmax,eval_sample,policy_loss,value_loss,entropy,approx_kl,lr
143,366080,30.1,-0.3634,,,-0.00894,0.00013,0.57815,0.0049,0.0001359
144,368640,30.6,-0.3643,-0.364,-0.3644,-0.00266,0.00013,0.58018,0.00515,0.0001333
145,371200,30.7,-0.3645,,,0.01081,0.00014,0.58805,0.00653,0.0001308
146,373760,30.8,-0.3635,,,-0.03585,0.00015,0.58222,0.00953,0.0001282
147,376320,31.0,-0.3637,,,0.01425,0.00015,0.58093,0.00624,0.0001256
148,378880,31.1,-0.3642,,,0.00622,0.00018,0.58447,0.01053,0.0001231
149,381440,31.3,-0.3643,,,-0.01934,0.00016,0.55265,0.00798,0.0001205
150,384000,31.4,-0.3644,,,-0.00442,0.00014,0.55854,0.00281,0.0001179
151,386560,31.5,-0.364,,,-0.00339,0.00014,0.58333,0.01026,0.0001154
152,389120,32.0,-0.3638,-0.364,-0.3638,-0.01182,0.00014,0.56185,0.00443,0.0001128
153,391680,32.1,-0.3646,,,0.0447,0.00014,0.57053,0.00837,0.0001103
154,394240,32.3,-0.3641,,,-0.00765,0.00015,0.5735,0.00863,0.0001077
155,396800,32.4,-0.3634,,,0.00419,0.00014,0.56902,0.0008,0.0001051
156,399360,32.5,-0.3633,,,-0.0225,0.00014,0.55374,0.00322,0.0001026
157,401920,32.7,-0.3639,,,-0.03802,0.00014,0.53708,0.00508,0.0001
158,404480,32.8,-0.3639,,,-0.01673,0.00016,0.56673,0.00212,9.74e-05
159,407040,32.9,-0.364,,,-0.03672,0.00015,0.5618,0.00183,9.49e-05
160,409600,33.4,-0.3634,-0.364,-0.3609,-0.03202,0.00015,0.56281,0.00394,9.23e-05
161,412160,33.5,-0.3634,,,0.00413,0.00015,0.56251,0.00636,8.97e-05
162,414720,33.6,-0.3631,,,0.01379,0.00015,0.60103,0.00103,8.72e-05
163,417280,33.8,-0.3629,,,0.00938,0.00013,0.6016,0.00625,8.46e-05
164,419840,33.9,-0.36,,,0.00066,0.00018,0.61119,0.0035,8.21e-05
165,422400,34.0,-0.3567,,,0.02296,0.00022,0.64758,0.00336,7.95e-05
166,424960,34.2,-0.3569,,,-0.00753,0.00027,0.65975,0.00814,7.69e-05
167,427520,34.3,-0.3541,,,-0.00342,0.00033,0.7062,0.00333,7.44e-05
168,430080,34.8,-0.3577,-0.364,-0.3503,-0.006,0.00031,0.67937,0.00452,7.18e-05
169,432640,34.9,-0.3523,,,-0.02875,0.00032,0.70162,0.0023,6.92e-05
170,435200,35.0,-0.3502,,,0.01185,0.00037,0.69649,0.00124,6.67e-05
171,437760,35.2,-0.3533,,,-0.01888,0.00036,0.67965,0.00536,6.41e-05
172,440320,35.3,-0.3515,,,0.01691,0.00036,0.70792,0.00261,6.15e-05
173,442880,35.4,-0.3538,,,-0.0105,0.00041,0.7048,0.00536,5.9e-05
174,445440,35.6,-0.3551,,,0.01697,0.00039,0.67374,0.0039,5.64e-05
175,448000,35.7,-0.3526,,,-0.02052,0.00036,0.67181,0.00413,5.38e-05
176,450560,36.2,-0.3544,-0.364,-0.3455,-0.01633,0.00037,0.70352,0.00048,5.13e-05
177,453120,36.3,-0.3518,,,0.0216,0.00039,0.67218,0.00119,4.87e-05
178,455680,36.4,-0.3505,,,-0.01564,0.00037,0.6658,0.00409,4.62e-05
179,458240,36.6,-0.3517,,,-0.02489,0.00039,0.6751,0.00118,4.36e-05
180,460800,36.7,-0.3501,,,0.00794,0.00037,0.67801,0.00182,4.1e-05
181,463360,36.9,-0.3494,,,-0.01795,0.00036,0.65828,0.00361,3.85e-05
182,465920,37.0,-0.3507,,,0.00808,0.00035,0.67515,0.00145,3.59e-05
183,468480,37.1,-0.3535,,,-0.02131,0.0004,0.68248,0.00553,3.33e-05
184,471040,37.6,-0.3495,-0.364,-0.3444,-0.01866,0.00036,0.67207,0.00487,3.08e-05
185,473600,37.7,-0.3498,,,0.00267,0.00037,0.67007,0.0016,2.82e-05
186,476160,37.9,-0.3488,,,0.00207,0.00037,0.6754,0.00431,2.56e-05
187,478720,38.0,-0.35,,,-0.00704,0.00035,0.68727,0.00302,2.31e-05
188,481280,38.1,-0.349,,,0.01965,0.00035,0.66722,0.00563,2.05e-05
189,483840,38.3,-0.3512,,,0.008,0.00043,0.68475,0.00357,1.79e-05
190,486400,38.4,-0.3492,,,-0.02543,0.0004,0.67421,0.00549,1.54e-05
191,488960,38.5,-0.3463,,,-0.01463,0.00039,0.68288,0.00464,1.28e-05
192,491520,39.0,-0.3495,-0.364,-0.3437,0.03181,0.00035,0.6788,0.0059,1.03e-05
193,494080,39.1,-0.3521,,,0.00018,0.00035,0.66478,0.00408,7.7e-06
194,496640,39.3,-0.3504,,,0.01849,0.00033,0.69285,0.00198,5.1e-06
195,499200,39.8,-0.3473,-0.364,-0.3445,-0.02319,0.00036,0.67614,0.00029,2.6e-06
