update,global_step,elapsed_s,train_return,eval_argmax,eval_sample,policy_loss,value_loss,entropy,approx_kl,lr
190,243200,61.6,0.0365,,,-0.14668,0.00173,0.58423,0.16917,0.0004123
191,244480,61.9,0.0818,,,0.05308,0.00059,0.48502,0.01219,0.0004103
192,245760,62.4,0.0921,0.123,0.1149,0.13807,0.00049,0.459,0.05892,0.0004082
193,247040,62.6,0.1068,,,-0.01774,0.0005,0.33015,0.04965,0.0004062
194,248320,62.9,0.1196,,,0.04824,0.00014,0.49757,0.30521,0.0004041
195,249600,63.1,0.0881,,,-0.06898,0.00059,0.35313,0.01028,0.0004021
196,250880,63.3,0.09,,,0.05539,0.00054,0.36065,0.01136,0.0004
197,252160,63.6,0.1,,,0.07135,0.00017,0.3822,0.00739,0.0003979
198,253440,63.8,0.1057,,,0.02009,0.00015,0.33078,0.01762,0.0003959
199,254720,64.0,0.1014,,,0.0306,0.00042,0.36779,0.02024,0.0003938
200,256000,64.6,0.1064,0.074,0.0898,0.00102,0.00034,0.47396,0.09486,0.0003918
201,257280,64.8,0.0898,,,-0.11537,0.00031,0.45533,0.02432,0.0003897
202,258560,65.0,0.1005,,,0.01224,0.00027,0.47,0.02495,0.0003877
203,259840,65.3,0.1071,,,0.03709,0.00028,0.33966,0.18482,0.0003856
204,261120,65.5,0.118,,,0.09381,0.00017,0.55484,0.06426,0.0003836
205,262400,65.7,0.0668,,,-0.05721,0.00124,0.36846,0.08999,0.0003815
206,263680,66.0,0.1108,,,2e-05,0.00025,0.38932,0.19027,0.0003795
207,264960,66.2,0.1018,,,-0.02829,0.00027,0.36804,0.09091,0.0003774
208,266240,66.8,0.1076,0.123,0.1244,-0.00397,0.00059,0.32223,0.01942,0.0003754
209,267520,67.0,0.1202,,,0.00362,0.00018,0.43613,0.23698,0.0003733
210,268800,67.2,0.0838,,,-0.07965,0.0005,0.65717,0.07945,0.0003713
211,270080,67.5,0.0813,,,0.07402,0.00036,0.53516,0.02635,0.0003692
212,271360,67.7,0.0897,,,-0.0801,0.0002,0.53211,0.02726,0.0003672
213,272640,68.0,0.0968,,,-0.01989,0.0002,0.57595,0.05057,0.0003651
214,273920,68.2,0.0953,,,-0.06117,0.00013,0.41936,0.0502,0.0003631
215,275200,68.5,0.1075,,,0.0762,0.00042,0.34863,0.04526,0.000361
216,276480,69.0,0.1188,0.125,0.102,0.27368,0.0002,0.41724,0.07892,0.000359
217,277760,69.2,0.0992,,,-0.09772,0.00041,0.3957,0.11839,0.0003569
218,279040,69.5,0.1173,,,-0.07607,0.00014,0.35861,0.01243,0.0003549
219,280320,69.8,0.1182,,,-0.03219,0.00016,0.41003,0.02562,0.0003528
220,281600,70.0,0.1127,,,-0.02293,0.00027,0.40965,0.02628,0.0003508
221,282880,70.2,0.1225,,,-0.13825,0.00021,0.45063,0.04932,0.0003487
222,284160,70.5,0.1148,,,0.0128,0.00011,0.5644,0.05703,0.0003467
223,285440,70.7,0.0512,,,-0.06959,0.00038,0.4542,0.03847,0.0003446
224,286720,73.5,0.0834,0.132,0.1126,-0.06234,0.00046,0.47533,0.0346,0.0003426
225,288000,73.7,0.1081,,,0.22398,0.00062,0.36802,0.02346,0.0003405
226,289280,74.0,0.1188,,,0.11608,0.00042,0.329,0.01292,0.0003385
227,290560,74.2,0.1155,,,0.14374,0.00071,0.38675,0.03246,0.0003364
228,291840,74.5,0.1263,,,0.04775,0.00016,0.34567,0.03935,0.0003344
229,293120,74.7,0.1275,,,0.10802,0.00014,0.50257,0.41831,0.0003323
230,294400,74.9,0.0266,,,0.0421,0.00115,0.51574,0.04481,0.0003303
231,295680,75.2,0.0755,,,-0.06027,0.00029,0.43374,0.06856,0.0003282
232,296960,75.7,0.095,0.099,0.106,0.0389,0.00011,0.43405,0.03601,0.0003262
233,298240,76.0,0.1037,,,0.04585,0.00015,0.39063,0.14794,0.0003241
234,299520,76.2,0.1245,,,0.10452,0.00014,0.33287,0.03253,0.0003221
235,300800,76.4,0.0932,,,-0.06422,0.00094,0.36646,0.11589,0.00032
236,302080,76.7,0.1189,,,0.10983,0.00056,0.36215,0.02367,0.0003179
237,303360,76.9,0.1231,,,-0.07709,0.00015,0.29706,0.10813,0.0003159
238,304640,77.2,0.125,,,0.07922,0.00013,0.28031,0.01453,0.0003138
239,305920,77.4,0.1242,,,-0.11838,0.00029,0.31076,0.05251,0.0003118
240,307200,77.9,0.127,0.132,0.1273,-0.00881,8e-05,0.29261,0.01209,0.0003097
241,308480,78.2,0.1225,,,-0.01098,0.00033,0.31013,0.00151,0.0003077
242,309760,78.4,0.1278,,,-0.02135,8e-05,0.55344,0.24763,0.0003056
243,311040,78.7,0.0351,,,-0.05568,0.00285,0.52461,0.10245,0.0003036
244,312320,78.9,0.0611,,,0.01134,0.00068,0.50211,0.04365,0.0003015
245,313600,79.2,0.0726,,,-0.09993,0.00038,0.44564,0.01419,0.0002995
246,314880,79.4,0.081,,,0.07392,0.00088,0.4779,0.032,0.0002974
247,316160,79.7,0.0998,,,-0.00487,0.00035,0.41424,0.01428,0.0002954
248,317440,80.2,0.1097,0.131,0.1185,-0.12791,0.00013,0.37241,0.01592,0.0002933
249,318720,80.5,0.1156,,,-0.06336,0.00034,0.33213,0.06574,0.0002913
250,320000,80.7,0.1281,,,0.07383,7e-05,0.31959,0.01877,0.0002892
251,321280,81.0,0.1153,,,-0.00074,0.00043,0.2683,0.01359,0.0002872
252,322560,81.2,0.1263,,,0.1198,0.00011,0.4319,0.14192,0.0002851
253,323840,81.5,0.1089,,,0.11118,0.00027,0.4186,0.01104,0.0002831
254,325120,81.7,0.1055,,,-0.11098,0.0002,0.43906,0.04434,0.000281
255,326400,82.0,0.1075,,,-0.09112,0.00015,0.40219,0.02336,0.000279
256,327680,82.6,0.1146,0.132,0.1211,-0.04383,0.00014,0.31373,0.0271,0.0002769
257,328960,82.8,0.1171,,,-0.12918,0.00016,0.31839,0.00671,0.0002749
258,330240,83.1,0.1218,,,0.05927,0.00027,0.30095,0.01796,0.0002728
259,331520,83.3,0.1257,,,-0.07495,0.0001,0.42732,0.05472,0.0002708
260,332800,83.5,0.108,,,0.13403,0.00032,0.38716,0.05343,0.0002687
261,334080,83.8,0.1021,,,0.09562,0.00026,0.38258,0.03587,0.0002667
262,335360,84.0,0.121,,,-0.09811,5e-05,0.36394,0.03308,0.0002646
263,336640,84.3,0.1235,,,-0.08301,9e-05,0.35885,0.11133,0.0002626
264,337920,84.8,0.1109,0.132,0.1266,-0.01337,0.00017,0.2733,0.37512,0.0002605
265,339200,85.1,0.13,,,0.05833,3e-05,0.3626,0.21174,0.0002585
266,340480,85.4,0.1134,,,0.04999,6e-05,0.40346,0.06165,0.0002564
267,341760,85.6,0.1183,,,0.0152,6e-05,0.3338,0.05685,0.0002544
268,343040,85.9,0.1256,,,-0.11722,5e-05,0.34899,0.01898,0.0002523
269,344320,86.2,0.1021,,,-0.01281,0.00036,0.43952,0.23023,0.0002503
270,345600,86.5,0.1166,,,0.09965,0.00021,0.29933,0.06062,0.0002482
271,346880,86.7,0.1282,,,-0.18055,5e-05,0.46416,0.12895,0.0002462
272,348160,87.3,0.0896,0.1,0.1041,-0.02688,0.00055,0.40016,0.03412,0.0002441
273,349440,87.6,0.1075,,,-0.1387,0.00012,0.52054,0.42233,0.0002421
274,350720,87.8,0.1006,,,-0.05605,0.00012,0.41313,0.06519,0.00024
275,352000,88.1,0.1116,,,0.00645,0.00014,0.43681,0.04032,0.0002379
276,353280,88.3,0.1151,,,-0.08563,0.0001,0.34176,0.03129,0.0002359
277,354560,88.5,0.1194,,,0.02125,0.00014,0.33349,0.0557,0.0002338
278,355840,88.8,0.1157,,,0.02123,0.00051,0.30819,0.05959,0.0002318
279,357120,89.1,0.1277,,,-0.03047,9e-05,0.46875,1.00556,0.0002297
280,358400,89.6,0.064,0.112,0.0926,-0.12445,0.00024,0.37222,0.18531,0.0002277
281,359680,89.9,0.0975,,,-0.0533,0.00012,0.4088,0.03097,0.0002256
282,360960,90.1,0.1051,,,0.10024,9e-05,0.36686,0.04505,0.0002236
283,362240,90.4,0.112,,,0.01062,5e-05,0.31516,0.02765,0.0002215
284,363520,90.6,0.1145,,,-0.11528,8e-05,0.29842,0.05365,0.0002195
285,364800,90.9,0.1231,,,0.04587,6e-05,0.25859,0.07573,0.0002174
286,366080,91.1,0.1248,,,-0.04491,3e-05,0.33392,0.066,0.0002154
287,367360,91.4,0.0997,,,-0.14804,0.0003,0.36835,0.01136,0.0002133
288,368640,91.9,0.1095,0.128,0.1197,-0.03112,0.0001,0.38024,0.03173,0.0002113
289,369920,92.2,0.1166,,,-0.06032,0.0001,0.26933,0.03386,0.0002092
290,371200,92.4,0.1234,,,0.00988,9e-05,0.33448,0.0908,0.0002072
291,372480,92.7,0.1153,,,-0.01171,7e-05,0.2582,0.06268,0.0002051
292,373760,92.9,0.1261,,,0.03333,3e-05,0.29038,0.00821,0.0002031
293,375040,93.2,0.1133,,,0.12826,0.00037,0.26482,0.01213,0.000201
294,376320,93.4,0.123,,,-0.12623,4e-05,0.25889,0.0256,0.000199
295,377600,93.7,0.1069,,,0.03458,0.00036,0.34743,0.42909,0.0001969
296,378880,94.2,0.122,0.129,0.1221,-0.14321,4e-05,0.30856,0.02471,0.0001949
297,380160,94.5,0.1192,,,0.06568,8e-05,0.27362,0.02392,0.0001928
298,381440,94.7,0.1243,,,-0.03946,9e-05,0.44232,0.1541,0.0001908
299,382720,95.0,0.0882,,,0.00666,0.00035,0.49316,0.02683,0.0001887
300,384000,95.2,0.1004,,,0.09954,0.00052,0.34473,0.05417,0.0001867
301,385280,95.5,0.1187,,,-0.04287,8e-05,0.29761,0.00303,0.0001846
302,386560,95.7,0.1194,,,-0.09282,6e-05,0.26927,0.0464,0.0001826
303,387840,96.0,0.1198,,,0.03039,0.00038,0.32569,0.03063,0.0001805
304,389120,96.5,0.1212,0.129,0.1236,0.03497,6e-05,0.26338,0.01817,0.0001785
